instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,leaflets,price reduction,casual,registered,cnt,date_offset,season_clean,weekday_clean
154,2011-06-03,2.0,0,6,0,5,1,1,24.8,0.587133,53.12505,0.253121,991,0,898,4414,5312,283,2,4
685,2012-11-15,4.0,1,11,0,4,1,2,12.8667,0.324492,93.06255,0.15298699999999998,601,0,320,5125,5445,795,4,3
368,2012-01-03,1.0,1,1,0,2,1,1,6.0,0.126275,66.1875,0.365671,549,0,89,2147,2236,1083,1,1
472,2012-04-16,2.0,1,4,1,1,0,1,26.5667,0.614925,84.25005,0.284829,740,0,1198,5172,6370,96,2,0
442,2012-03-17,1.0,1,3,0,-1,0,2,20.5667,0.505046,113.37495,0.110704,773,1,3155,4681,7836,1297,1,5
257,2011-09-14,3.0,0,9,0,3,1,1,26.9333,0.6269,104.56245,0.1673,761,0,647,4138,4785,594,3,2
413,2012-02-17,1.0,1,2,0,5,1,1,13.7333,0.351629,,0.205846,877,1,349,3805,4154,1197,1,4
643,2012-10-04,4.0,1,10,0,4,1,2,26.3,0.607975,108.43755,0.117546,479,0,891,6437,7328,684,4,3
274,2011-10-01,,0,10,0,6,0,2,16.4,0.412863,113.0625,0.292296,628,0,480,1949,2429,681,4,5
129,2011-05-09,2.0,0,5,0,1,1,1,21.3,0.525246,88.3125,0.17600000000000002,838,0,664,3698,4362,189,2,0
175,2011-06-24,3.0,0,6,0,5,1,1,28.9667,0.656583,85.99995,0.222025,779,0,969,4022,4991,304,3,4
213,2011-08-01,3.0,0,8,0,1,1,1,30.8667,0.703292,,0.156717,533,0,729,3537,4266,481,3,0
533,2012-06-16,2.0,1,6,0,6,0,1,25.2667,0.594708,75.62505,0.166667,932,0,2963,4739,7702,296,2,5
590,2012-08-12,3.0,1,8,0,0,0,1,28.0333,0.644579,79.56255,0.122512,513,0,2182,4362,6544,492,3,6
221,2011-08-09,3.0,0,8,0,2,1,1,31.0,0.724121,85.56255,0.151121,464,0,907,3695,4602,489,3,1
269,2011-09-26,,0,9,0,1,1,2,25.9667,0.589042,127.24995,0.1107,495,1,684,3946,4630,606,4,0
417,2012-02-21,1.0,1,2,0,2,1,1,11.513,0.295113,89.1522,0.205717,587,0,163,3614,3777,1201,1,1
30,2011-01-30,1.0,0,1,0,0,0,1,8.6609,0.250322,108.3261,0.0739826,548,0,140,956,1096,1110,1,6
565,2012-07-18,3.0,1,7,0,3,1,1,31.7333,0.745583,86.56245,0.137442,977,0,799,4914,5713,398,3,2
594,2012-08-16,3.0,1,8,0,4,1,1,28.7667,0.654688,77.87505,0.141796,755,0,1338,6267,7605,496,3,3
135,2011-05-15,2.0,0,5,0,0,0,2,22.5,0.536,130.06245,0.152979,1024,0,1582,2971,4553,195,2,6
425,2012-02-29,1.0,1,2,0,3,1,2,13.7739,0.34847,120.71745,0.179117,629,0,65,1769,1834,1209,1,2
227,2011-08-15,3.0,0,8,0,1,1,1,26.6333,0.616167,106.81245,0.208954,815,0,775,3563,4338,495,3,0
502,2012-05-16,2.0,1,5,0,3,1,1,25.4667,0.595975,104.68755,0.122512,588,0,991,6433,7424,196,2,2
524,2012-06-07,2.0,1,6,0,4,1,1,24.1,0.569442,,0.15735,537,0,1038,6456,7494,287,2,3
188,2011-07-07,3.0,0,7,0,4,1,1,30.0,0.686871,,0.1592,723,0,754,3838,4592,387,3,3
9,2011-01-09,1.0,0,1,0,0,0,1,5.5333,0.116175,65.12505,0.36195,836,0,54,768,822,1089,1,6
378,2012-01-13,1.0,1,1,0,5,1,1,10.9667,0.249362,76.125,0.378108,911,0,174,3040,3214,1093,1,4
722,2012-12-22,1.0,1,12,0,6,0,1,10.6333,0.236113,66.1875,0.407346,572,0,205,1544,1749,902,1,5
4,2011-01-04,1.0,0,1,0,2,1,1,8.0,0.212122,88.56525,0.160296,734,0,108,1454,1562,1084,1,1
557,2012-07-10,,1,7,0,2,1,2,28.8333,0.664796,100.125,0.15173699999999998,516,1,954,5336,6290,390,3,1
144,2011-05-24,2.0,0,5,0,2,1,2,26.4,0.604813,111.12495,0.207092,829,0,659,3833,4492,204,2,1
481,2012-04-25,2.0,1,4,0,3,1,1,19.0667,0.470317,64.18755,0.118792,636,0,655,5541,6196,105,2,2
578,2012-07-31,3.0,1,7,0,2,1,1,28.5333,0.662896,105.62505,0.165425,864,0,968,6248,7216,411,3,1
564,2012-07-17,3.0,1,7,0,2,1,1,32.7333,0.755683,75.87495,0.114429,809,0,921,5865,6786,397,3,1
683,2012-11-13,,1,11,0,2,1,2,13.7333,0.323225,99.43755,0.342046,542,0,327,3767,4094,793,4,1
699,2012-11-29,4.0,1,11,0,4,1,1,11.2348,0.298422,83.3478,0.115522,509,0,243,5080,5323,809,4,3
637,2012-09-28,4.0,1,9,0,5,1,2,24.7667,0.585863,103.5,0.164179,658,0,1045,6370,7415,608,4,4
548,2012-07-01,3.0,1,7,0,0,0,1,32.6333,0.750629,,0.16852899999999998,860,1,1421,4110,5531,381,3,6
261,2011-09-18,3.0,0,9,0,0,0,1,20.3,0.490537,104.25,0.178483,750,1,1353,2921,4274,598,3,6
626,2012-09-17,3.0,1,9,0,1,1,2,23.2333,0.55305,110.18745,0.15174200000000002,848,0,1022,5847,6869,597,3,0
681,2012-11-11,4.0,1,11,0,0,0,1,16.8333,0.421713,98.87505,0.1275,783,0,2290,4562,6852,791,4,6
397,2012-02-01,1.0,1,2,0,3,1,1,18.7667,0.466538,76.18755,0.189067,787,0,304,4275,4579,1181,1,2
8,2011-01-08,1.0,0,1,0,6,0,2,6.6,0.162254,80.37495,0.266804,990,0,68,891,959,1088,1,5
354,2011-12-20,4.0,0,12,0,2,1,2,15.4333,0.396454,89.31255,0.061570800000000016,867,1,216,3534,3750,900,4,1
304,2011-10-31,4.0,0,10,0,1,1,1,13.6,0.356063,105.49995,0.10635,720,0,362,3307,3669,711,4,0
597,2012-08-19,3.0,1,8,0,0,0,2,25.4333,0.603554,,0.08645,540,0,1208,3341,4549,499,3,6
464,2012-04-08,,1,4,0,0,0,1,20.0,0.492425,41.37495,0.232596,557,1,2230,2939,5169,88,2,6
119,2011-04-29,2.0,0,4,0,5,1,1,20.4,0.497463,68.56245,0.240063,911,1,878,3717,4595,109,2,4
132,2011-05-12,2.0,0,5,0,4,1,1,21.4,0.523363,,0.189667,983,0,695,4169,4864,192,2,3
562,2012-07-15,,1,7,0,0,0,1,29.8333,0.705196,107.68755,0.166667,690,1,1920,4111,6031,395,3,6
441,2012-03-16,1.0,1,3,0,5,1,2,17.4333,0.436229,126.31245,0.113192,585,0,548,3830,4378,1296,1,4
608,2012-08-30,3.0,1,8,0,4,1,1,28.2667,0.652779,88.56255,0.0771167,592,0,1172,6541,7713,510,3,3
163,2011-06-12,2.0,0,6,0,0,0,1,27.7,0.643325,112.18755,0.16356700000000002,495,0,1467,2993,4460,292,2,6
44,2011-02-13,1.0,0,2,0,0,0,1,12.6609,0.324113,68.60865,0.260883,686,1,397,1192,1589,1193,1,6
367,2012-01-02,1.0,1,1,1,1,0,1,10.9217,0.252304,57.1956,0.329665,989,0,244,1707,1951,1082,1,0
529,2012-06-12,2.0,1,6,0,2,1,2,26.1333,0.597875,124.99995,0.214546,777,0,477,4495,4972,292,2,1
669,2012-10-30,4.0,1,10,0,2,1,2,12.7273,0.309909,123.81825,0.213009,846,0,87,1009,1096,710,4,1
321,2011-11-17,4.0,0,11,0,4,1,2,13.6667,0.323221,86.37495,0.305362,532,0,139,2914,3053,797,4,3
232,2011-08-20,,0,8,0,6,0,1,27.9,0.648996,101.12505,0.104467,675,0,1914,3277,5191,500,3,5
702,2012-12-02,4.0,1,12,0,0,0,2,13.9,0.359208,123.49995,0.124379,702,0,892,3757,4649,882,4,6
303,2011-10-30,4.0,0,10,0,0,0,1,12.7667,0.321329,93.5625,0.176617,787,0,885,2446,3331,710,4,6
514,2012-05-28,2.0,1,5,1,1,0,1,28.5,0.6793,101.4375,0.196521,506,0,2557,3486,6043,208,2,0
501,2012-05-15,2.0,1,5,0,2,1,2,24.4667,0.576404,119.18745,0.147392,779,0,625,4490,5115,195,2,1
401,2012-02-05,1.0,1,2,0,0,0,2,10.6333,0.264521,103.18755,0.175996,769,0,318,2629,2947,1185,1,6
